168.8,64.1,48.8,16500,111,130,alfa-romero
171.2,65.5,52.4,16500,111,130,alfa-romero
176.6,66.2,54.3,13950,154,152,audi
176.6,66.4,54.3,17450,102,109,audi
177.3,66.3,53.1,15250,115,136,audi
192.7,71.4,55.7,17710,110,136,audi
192.7,71.4,55.7,18920,110,136,audi
192.7,71.4,55.9,23875,110,136,audi
178.2,67.9,52,10000,140,131,audi
176.8,64.8,54.3,16430,160,131,bmw
176.8,64.8,54.3,16925,101,108,bmw
176.8,64.8,54.3,20970,101,108,bmw
176.8,64.8,54.3,21105,121,164,bmw
189,66.9,55.7,24565,121,164,bmw
189,66.9,55.7,30760,121,164,bmw
193.8,67.9,53.7,41315,182,209,bmw
197,70.9,56.3,36880,182,209,bmw
141.1,60.3,53.2,5151,182,209,chevrolet
155.9,63.6,52,6295,48,61,chevrolet
158.8,63.6,52,6575,70,90,chevrolet
157.3,63.8,50.8,5572,70,90,dodge
157.3,63.8,50.8,6377,68,90,dodge
157.3,63.8,50.8,7957,68,90,dodge
157.3,63.8,50.6,6229,102,98,dodge
157.3,63.8,50.6,6692,68,90,dodge
157.3,63.8,50.6,7609,68,90,dodge
157.3,63.8,50.6,8558,68,90,dodge
174.6,64.6,59.8,8921,102,98,dodge
173.2,66.3,50.2,12964,88,122,dodge
144.6,63.9,50.8,6479,145,156,honda
144.6,63.9,50.8,6855,58,92,honda
150,64,52.6,5399,76,92,honda
150,64,52.6,6529,60,79,honda
150,64,52.6,7129,76,92,honda
163.4,64,54.5,7295,76,92,honda
157.1,63.9,58.3,7295,76,92,honda
167.5,65.2,53.3,7895,76,92,honda
167.5,65.2,53.3,9095,86,110,honda
175.4,65.2,54.1,8845,86,110,honda
175.4,62.5,54.1,10295,86,110,honda
175.4,65.2,54.1,12945,86,110,honda
169.1,66,51,10345,101,110,honda
170.7,61.8,53.5,6785,100,110,isuzu
155.9,63.6,52,10000,78,111,isuzu
155.9,63.6,52,20000,70,90,isuzu
172.6,65.2,51.4,11048,70,90,isuzu
199.6,69.6,52.8,32250,90,119,jaguar
199.6,69.6,52.8,35550,176,258,jaguar
191.7,70.6,47.8,36000,176,258,jaguar
159.1,64.2,54.1,5195,262,326,mazda
159.1,64.2,54.1,6095,68,91,mazda
159.1,64.2,54.1,6795,68,91,mazda
166.8,64.2,54.1,6695,68,91,mazda
166.8,64.2,54.1,7395,68,91,mazda
177.8,66.5,53.7,8845,68,91,mazda
177.8,66.5,55.5,8495,84,122,mazda
177.8,66.5,53.7,10595,84,122,mazda
177.8,66.5,55.5,10245,84,122,mazda
177.8,66.5,55.5,10795,84,122,mazda
177.8,66.5,55.5,11245,64,122,mazda
175,66.1,54.4,18280,84,122,mazda
175,66.1,54.4,18344,120,140,mazda
190.9,70.3,56.5,25552,72,134,mercedes-benz
190.9,70.3,58.7,28248,123,183,mercedes-benz
187.5,70.3,54.9,28176,123,183,mercedes-benz
202.6,71.7,56.3,31600,123,183,mercedes-benz
202.6,71.7,56.5,34184,123,183,mercedes-benz
180.3,70.5,50.8,35056,155,234,mercedes-benz
208.1,71.7,56.7,40960,155,234,mercedes-benz
199.2,72,55.4,45400,184,308,mercedes-benz
178.4,68,54.8,16503,184,304,mercury
157.3,64.4,50.8,5389,175,140,mitsubishi
157.3,64.4,50.8,6189,68,92,mitsubishi
157.3,64.4,50.8,6669,68,92,mitsubishi
157.3,63.8,50.8,7689,68,92,mitsubishi
173,65.4,49.4,9959,102,98,mitsubishi
173,65.4,49.4,8499,116,110,mitsubishi
173.2,66.3,50.2,12629,88,122,mitsubishi
173.2,66.3,50.2,14869,145,156,mitsubishi
173.2,66.3,50.2,14489,145,156,mitsubishi
172.4,65.4,51.6,6989,145,156,mitsubishi
172.4,65.4,51.6,8189,88,122,mitsubishi
172.4,65.4,51.6,9279,88,122,mitsubishi
172.4,65.4,51.6,9279,116,110,mitsubishi
165.3,63.8,54.5,5499,116,110,nissan
165.3,63.8,54.5,7099,69,97,nissan
165.3,63.8,54.5,6649,55,103,nissan
165.3,63.8,54.5,6849,69,97,nissan
170.2,63.8,53.5,7349,69,97,nissan
165.3,63.8,54.5,7299,69,97,nissan
165.6,63.8,53.3,7799,69,97,nissan
165.3,63.8,54.5,7499,69,97,nissan
170.2,63.8,53.5,7999,69,97,nissan
162.4,63.8,53.3,8249,69,97,nissan
173.4,65.2,54.7,8949,69,97,nissan
173.4,65.2,54.7,9549,97,120,nissan
181.7,66.5,55.1,13499,97,120,nissan
184.6,66.5,56.1,14399,152,181,nissan
184.6,66.5,55.1,13499,152,181,nissan
170.7,67.9,49.7,17199,152,181,nissan
170.7,67.9,49.7,19699,160,181,nissan
178.5,67.9,49.7,18399,200,181,nissan
186.7,68.4,56.7,11900,160,181,peugot
186.7,68.4,56.7,13200,97,120,peugot
198.9,68.4,58.7,12440,95,152,peugot
198.9,68.4,58.7,13860,97,120,peugot
186.7,68.4,56.7,15580,95,152,peugot
186.7,68.4,56.7,16900,95,120,peugot
198.9,68.4,56.7,16695,95,152,peugot
198.9,68.4,58.7,17075,95,120,peugot
186.7,68.4,56.7,16630,95,152,peugot
186.7,68.4,56.7,17950,97,120,peugot
186.7,68.3,56,18150,95,152,peugot
157.3,63.8,50.8,5572,142,134,plymouth
157.3,63.8,50.8,7957,68,90,plymouth
157.3,63.8,50.6,6229,102,98,plymouth
167.3,63.8,50.8,6692,68,90,plymouth
167.3,63.8,50.8,7609,68,90,plymouth
174.6,64.6,59.8,8921,68,98,plymouth
173.2,66.3,50.2,12764,88,122,plymouth
168.9,68.3,50.2,22018,145,156,porsche
168.9,65,51.6,32528,143,151,porsche
168.9,65,51.6,34028,207,194,porsche
168.9,65,51.6,37028,207,194,porsche
175.7,72.3,50.5,20000,207,194,porsche
186.6,66.5,56.1,11850,288,203,saab
186.6,66.5,56.1,12170,110,121,saab
186.6,66.5,56.1,15040,110,121,saab
186.6,66.5,56.1,15510,110,121,saab
186.6,66.5,56.1,18150,110,121,saab
186.6,66.5,56.1,18620,160,121,saab
156.9,63.4,53.7,5118,160,121,subaru
157.9,63.6,53.7,7053,69,97,subaru
157.3,63.8,55.7,7603,73,108,subaru
172,65.4,52.5,7126,73,108,subaru
172,65.4,52.5,7775,82,108,subaru
172,65.4,52.5,9960,82,108,subaru
172,65.4,54.3,9233,94,108,subaru
172,65.4,54.3,11259,82,108,subaru
173.5,65.4,53,7463,111,108,subaru
173.5,65.4,53,10198,82,108,subaru
173.6,65.4,54.9,8013,94,108,subaru
173.6,65.4,54.9,11694,82,108,subaru
158.7,63.6,54.5,5348,111,108,toyota
158.7,63.6,54.5,6338,62,92,toyota
158.7,63.6,54.5,6488,62,92,toyota
169.7,63.6,59.1,6918,62,92,toyota
169.7,63.6,59.1,7898,62,92,toyota
169.7,63.6,59.1,8778,62,92,toyota
166.3,64.4,53,6938,62,92,toyota
166.3,64.4,52.8,7198,70,98,toyota
166.3,64.4,53,7898,70,98,toyota
166.3,64.4,52.8,7788,56,110,toyota
166.3,64.4,53,7738,56,110,toyota
166.3,64.4,52.8,8358,70,98,toyota
166.3,64.4,52.8,9258,70,98,toyota
168.7,64,52.6,8058,70,98,toyota
168.7,64,52.6,8238,70,98,toyota
168.7,64,52.6,9298,70,98,toyota
168.7,64,52.6,9538,112,98,toyota
176.2,65.6,52,8449,112,98,toyota
176.2,65.6,52,9639,116,146,toyota
176.2,65.6,52,9989,116,146,toyota
176.2,65.6,52,11199,116,146,toyota
176.2,65.6,52,11549,116,146,toyota
176.2,65.6,53,17669,116,146,toyota
175.6,66.5,54.9,8948,116,146,toyota
175.6,66.5,54.9,10698,92,122,toyota
175.6,66.5,53.9,9988,73,110,toyota
175.6,66.5,54.9,10898,92,122,toyota
175.6,66.5,53.9,11248,92,122,toyota
183.5,67.7,52,16558,92,122,toyota
183.5,67.7,52,15998,161,171,toyota
187.8,66.5,54.1,15690,161,171,toyota
187.8,66.5,54.1,15750,156,171,toyota
171.7,65.5,55.7,7775,156,161,volkswagen
171.7,65.5,55.7,7975,52,97,volkswagen
171.7,65.5,55.7,7995,85,109,volkswagen
171.7,65.5,55.7,8195,52,97,volkswagen
171.7,65.5,55.7,8495,85,109,volkswagen
171.7,65.5,55.7,9495,85,109,volkswagen
171.7,65.5,55.7,9995,68,97,volkswagen
159.3,64.2,55.6,11595,100,109,volkswagen
165.7,64,51.4,9980,90,109,volkswagen
180.2,66.9,55.1,13295,90,109,volkswagen
180.2,66.9,55.1,13845,110,136,volkswagen
183.1,66.9,55.1,12290,68,97,volkswagen
188.8,67.2,56.2,12940,88,109,volvo
188.8,67.2,57.5,13415,114,141,volvo
188.8,67.2,56.2,15985,114,141,volvo
188.8,67.2,57.5,16515,114,141,volvo
188.8,67.2,56.2,18420,114,141,volvo
188.8,67.2,57.5,18950,162,130,volvo
188.8,68.9,55.5,16845,162,130,volvo
188.8,68.8,55.5,19045,114,141,volvo
188.8,68.9,55.5,21485,160,141,volvo
188.8,68.9,55.5,22470,134,173,volvo
188.8,68.9,55.5,22625,106,145,volvo
